Country,Capital,Language,Continent
USA,Washington D.C.,English,North America
Canada,Ottawa,English,French,North America
Mexico,Mexico City,Spanish,North America
Brazil,Brasília,Portuguese,South America
Argentina,Buenos Aires,Spanish,South America
Chile,Santiago,Spanish,South America
Peru,Lima,Spanish,South America
Australia,Canberra,English,Australia/Oceania
New Zealand,Wellington,English,Australia/Oceania
China,Beijing,Chinese,Asia
India,New Delhi,Hindi,English,Asia
Japan,Tokyo,Japanese,Asia
South Korea,Seoul,Korean,Asia
Russia,Moscow,Russian,Europe/Asia
Germany,Berlin,German,Europe
France,Paris,French,Europe
United Kingdom,London,English,Europe
Italy,Rome,Italian,Europe
Spain,Madrid,Spanish,Europe
South Africa,Pretoria,English,Afrikaans,Africa
